ID	x
ENSMUSG00000056268.15|Dennd1b	2
ENSMUSG00000033964.12|Zbtb41	5
ENSMUSG00000033952.14|Aspm	5
ENSMUSG00000018196.18|Glrx2	1
ENSMUSG00000018189.12|Uchl5	1
ENSMUSG00000006005.18|Tpr	1
ENSMUSG00000026483.13|Fam129a	1
ENSMUSG00000043019.12|Edem3	1
ENSMUSG00000099568.1|Gm28513	1
ENSMUSG00000026473.16|Glul	1
ENSMUSG00000026470.14|Stx6	1
ENSMUSG00000050565.16|Tor1aip2	4
ENSMUSG00000101523.1|Gm10031	1
ENSMUSG00000026596.13|Abl2	2
ENSMUSG00000049881.13|2810025M15Rik	1
ENSMUSG00000026708.16|Cenpl	2
ENSMUSG00000103393.1|Gm38304	1
ENSMUSG00000041406.14|BC055324	2
ENSMUSG00000041396.13|Mettl18	2
ENSMUSG00000040918.12|Slc19a2	1
ENSMUSG00000026578.6|Ccdc181	1
ENSMUSG00000040836.15|Gpr161	2
ENSMUSG00000000544.14|Gpa33	2
ENSMUSG00000060568.14|Fam78b	1
ENSMUSG00000038463.8|Olfml2b	1
ENSMUSG00000062729.11|Ppox	2
ENSMUSG00000013997.10|Nit1	2
ENSMUSG00000102929.1|Gm37154	1
ENSMUSG00000006412.10|Pfdn2	1
ENSMUSG00000006411.12|Nectin4	1
ENSMUSG00000048865.16|Arhgap30	1
ENSMUSG00000026641.13|Usf1	1
ENSMUSG00000038235.4|F11r	2
ENSMUSG00000060244.1|Alyref2	3
ENSMUSG00000059058.7|Tma7-ps	1
ENSMUSG00000003464.13|Pex19	2
ENSMUSG00000026554.15|Dcaf8	2
ENSMUSG00000038034.15|Igsf8	2
ENSMUSG00000044708.5|Kcnj10	1
ENSMUSG00000050229.3|Pigm	2
ENSMUSG00000037995.15|Igsf9	2
ENSMUSG00000026547.15|Tagln2	1
ENSMUSG00000026546.16|Cfap45	1
ENSMUSG00000037860.15|Aim2	2
ENSMUSG00000028354.13|Fmn2	2
ENSMUSG00000039748.11|Exo1	2
ENSMUSG00000063659.11|Zbtb18	4
ENSMUSG00000026502.13|Desi2	1
ENSMUSG00000038949.8|Cnst	5
ENSMUSG00000026490.18|Cdc42bpa	2
ENSMUSG00000058729.13|Lin9	2
ENSMUSG00000026499.5|Acbd3	1
ENSMUSG00000103649.1|Gm37768	1
ENSMUSG00000038806.7|Sde2	2
ENSMUSG00000066652.5|Lefty2	1
ENSMUSG00000038793.8|Lefty1	1
ENSMUSG00000026519.16|Tmem63a	1
ENSMUSG00000026511.7|Srp9	1
ENSMUSG00000026510.10|Trp53bp2	2
ENSMUSG00000038576.15|Susd4	1
ENSMUSG00000042901.10|Aida	2
ENSMUSG00000039384.8|Dusp10	1
ENSMUSG00000026615.14|Eprs	3
ENSMUSG00000102185.1|5033404E19Rik	2
ENSMUSG00000039224.1|D1Pas1	2
ENSMUSG00000039210.16|Gpatch2	1
ENSMUSG00000104245.1|Gm38155	2
ENSMUSG00000026604.17|Ptpn14	2
ENSMUSG00000062510.12|Nsl1	1
ENSMUSG00000026627.7|Tmem206	1
ENSMUSG00000037461.10|Ints7	1
ENSMUSG00000026623.16|Lpgat1	3
ENSMUSG00000037434.7|Slc30a1	2
ENSMUSG00000037375.16|Hhat	1
ENSMUSG00000026638.15|Irf6	1
ENSMUSG00000079144.7|A130010J15Rik	1
ENSMUSG00000026640.12|Plxna2	1
ENSMUSG00000104515.1|Gm37163	1
ENSMUSG00000050530.14|Fam171a1	3
ENSMUSG00000026648.18|Dclre1c	1
ENSMUSG00000026655.15|Fam107b	1
ENSMUSG00000026657.16|Frmd4a	2
ENSMUSG00000026662.13|Sephs1	2
ENSMUSG00000026664.7|Phyh	1
ENSMUSG00000043241.14|Upf2	3
ENSMUSG00000039046.15|Usp6nl	4
ENSMUSG00000037262.7|Kin	2
ENSMUSG00000026730.12|Pter	1
ENSMUSG00000026718.17|Stam	1
ENSMUSG00000026748.13|Plxdc2	1
ENSMUSG00000026743.16|Mllt10	1
ENSMUSG00000026739.13|Bmi1	1
ENSMUSG00000023094.14|Msrb2	1
ENSMUSG00000043415.5|Otud1	1
ENSMUSG00000036617.16|Etl4	5
ENSMUSG00000048550.17|Thnsl1	4
ENSMUSG00000026784.14|Pdss1	1
ENSMUSG00000026781.17|Acbd5	1
ENSMUSG00000026775.9|Yme1l1	3
ENSMUSG00000026979.16|Psd4	1
ENSMUSG00000026974.11|Zmynd19	1
ENSMUSG00000026975.10|Dph7	1
ENSMUSG00000103217.1|Gm38287	1
ENSMUSG00000044628.4|Rnf208	2
ENSMUSG00000048707.9|Tprn	1
ENSMUSG00000026955.13|Sapcd2	1
ENSMUSG00000049086.8|Bmyc	4
ENSMUSG00000036186.5|Dipk1b	1
ENSMUSG00000015488.14|Cacfd1	1
ENSMUSG00000026917.15|Wdr5	2
ENSMUSG00000085929.1|Gm13421	1
ENSMUSG00000015846.14|Rxra	4
ENSMUSG00000026837.15|Col5a1	1
ENSMUSG00000026833.18|Olfm1	2
ENSMUSG00000035829.13|Ppp1r26	4
ENSMUSG00000035772.11|Mrps2	1
ENSMUSG00000026829.9|Gbgt1	1
ENSMUSG00000026821.16|Ralgds	2
ENSMUSG00000026812.16|Tsc1	3
ENSMUSG00000026806.15|Ddx31	1
ENSMUSG00000026803.17|Ttf1	3
ENSMUSG00000043535.13|Setx	4
ENSMUSG00000039844.19|Rapgef1	2
ENSMUSG00000026798.10|Coq4	1
ENSMUSG00000059316.2|Slc27a4	2
ENSMUSG00000039787.13|Cercam	2
ENSMUSG00000026790.19|Odf2	1
ENSMUSG00000054766.13|Set	1
ENSMUSG00000039678.12|Tbc1d13	2
ENSMUSG00000039660.16|Spout1	2
ENSMUSG00000099041.1|Gm28035	3
ENSMUSG00000079484.12|Phyhd1	1
ENSMUSG00000026856.14|Dolpp1	1
